entry,subject
National level bibliographic record--films Draft for comment,Machine-readable bibliographic data
National level bibliographic record--films Draft for comment,Cataloging of motion pictures
National level bibliographic record--films Draft for comment,Cataloging of filmstrips
National level bibliographic record--films Draft for comment,Standards
National level bibliographic record--films Draft for comment,Data processing
National level bibliographic record--maps Draft for comment,Machine-readable bibliographic data
National level bibliographic record--maps Draft for comment,Standards
National level bibliographic record--maps Draft for comment,Cataloging of maps
National level bibliographic record--maps Draft for comment,Data processing
National level bibliographic record--music Draft for comment,Music
National level bibliographic record--music Draft for comment,Machine-readable bibliographic data
National level bibliographic record--music Draft for comment,Cataloging of music
National level bibliographic record--music Draft for comment,Classification
National level bibliographic record--music Draft for comment,Standards
National level bibliographic record--music Draft for comment,Data processing
USMARC format for holdings and locations,MARC formats
USMARC format for holdings and locations,Machine-readable bibliographic data
USMARC format for holdings and locations,Union catalogs
USMARC format for holdings and locations,Exchange of bibliographic information
USMARC format for holdings and locations,Format
USMARC format for holdings and locations,Online library catalogs
USMARC format for holdings and locations,Holdings (Bibliographic data)
USMARC format for holdings and locations,Standards
USMARC format for holdings and locations,Data processing
Acta informatica,Information storage and retrieval systems
Acta informatica,Machine theory
Acta informatica,Electronic data processing
Infosystems,Electronic office machines
Infosystems,Business
Infosystems,Data processing
IEEE transactions on man-machine systems,Man-Machine Systems
IEEE transactions on man-machine systems,Human-computer interaction
IEEE transactions on human factors in electronics,Human-machine systems
IEEE transactions on human factors in electronics,Ergonomics
IEEE transactions on human factors in electronics,Man-Machine Systems
IEEE transactions on human factors in electronics,Human engineering
IEEE transactions on human factors in electronics,Human-computer interaction
Jane's surface skimmers,Ground-effect machines
Jane's surface skimmers,Catalogs
Jane's surface skimmers,Hydrofoil boats
International journal of man-machine studies,Human-machine systems
International journal of man-machine studies,Human engineering
International journal of man-machine studies,Mens-computer-interactie
International journal of man-machine studies,Systèmes homme-machine
International journal of man-machine studies,Ingénierie des systèmes
International journal of man-machine studies,Ergonomie
International journal of man-machine studies,Systems engineering
Journal of computer and system sciences,Electronic digital computers
Journal of computer and system sciences,System analysis
Journal of computer and system sciences,Machine theory
Economic handbook of the machine tool industry,Machine tool industry
Annual Symposium on Switching & Automata Theory [papers],Switching theory
Annual Symposium on Switching & Automata Theory [papers],Machine theory
Theoretical computer science,Formal languages
Theoretical computer science,Machine theory
Information processing letters,Information storage and retrieval systems
Information processing letters,Machine theory
Information processing letters,Electronic data processing
Annual Symposium on Foundations of Computer Science [papers],"Commutation, Théorie de la"
Annual Symposium on Foundations of Computer Science [papers],"Automates mathématiques, Théorie des"
Annual Symposium on Foundations of Computer Science [papers],Machine theory
Annual Symposium on Foundations of Computer Science [papers],Electronic data processing
Annual Symposium on Foundations of Computer Science [papers],Informatique
Annual Symposium on Foundations of Computer Science [papers],Switching theory
Annual Symposium on Foundations of Computer Science [papers],Fundamentele informatica
"Revue française d'automatique, informatique, recherche opérationnelle Automatique",Sequential machine theory
RAIRO RAIRO: Theoretical computer science Informatique théorique,Electronic data processing
RAIRO RAIRO: Theoretical computer science Informatique théorique,Machine theory
Proceedings of the ... annual ACM Symposium on Theory of Computing,Wiskunde
Proceedings of the ... annual ACM Symposium on Theory of Computing,Computational complexity
Proceedings of the ... annual ACM Symposium on Theory of Computing,Machine theory
Proceedings of the ... annual ACM Symposium on Theory of Computing,Computable functions
Proceedings of the ... annual ACM Symposium on Theory of Computing,Computers
Database,Online Systems
Database,Machine-readable bibliographic data
Database,Information storage and retrieval systems
Database,Information services
Database,Information Systems
Computer-readable data bases,Machine-readable bibliographic data
Computer-readable data bases,Information services
Computer-readable data bases,Information Services
Office Automation Conference digest,Electronic office machines
Office Automation Conference digest,Office practice
Office Automation Conference digest,Automation
Office Automation Conference digest,Word processing
"Proceedings of ... annual meeting and technical conference, Numerical Control Society",Machine-tools
"Proceedings of ... annual meeting and technical conference, Numerical Control Society",Numerical control
Proceedings of ... international technical conference,Machine-tools
Proceedings of ... international technical conference,Numerical control
Electrical union news,Electric industry workers
Electrical union news,Labor unions
Trudy Seminara po prochnosti detaleĭ mashin,Strength of materials
Trudy Seminara po prochnosti detaleĭ mashin,Machine design
Mashinnyĭ perevod i prikladnai︠a︡ lingvistika,Translating
Mashinnyĭ perevod i prikladnai︠a︡ lingvistika,Applied linguistics
Mashinnyĭ perevod i prikladnai︠a︡ lingvistika,Linguistics
Mashinnyĭ perevod i prikladnai︠a︡ lingvistika,Machine translating
01 Vestnik mashinostroenii͡a,Machine-tools
01 Vestnik mashinostroenii͡a,Mechanical engineering
Die Bührle Saga Festschrift zum 75-jährigen Jubliäum einer weltberühmten Waffenschmiede mit einem Zwischenwort an die Haupterbin,Machine-tool industry
Die Bührle Saga Festschrift zum 75-jährigen Jubliäum einer weltberühmten Waffenschmiede mit einem Zwischenwort an die Haupterbin,History
Die Bührle Saga Festschrift zum 75-jährigen Jubliäum einer weltberühmten Waffenschmiede mit einem Zwischenwort an die Haupterbin,Weapons industry
"Bohren, Drehen und Fräsen Geschichte der Werkzeugmaschinen",Machine-tools
"Bohren, Drehen und Fräsen Geschichte der Werkzeugmaschinen",History
"Bohren, Drehen und Fräsen Geschichte der Werkzeugmaschinen",Exhibitions
The Market for tools from developing countries,Machine-tool industry
The Market for tools from developing countries,Commerce
The Market for tools from developing countries,Market surveys
Automatische Sprachübersetzung,Machine translating
Logic machines and diagrams,Logic machines
Logic machines and diagrams,Logic diagrams
Logic machines and diagrams,History
Logic machines and diagrams,"Logic diagrams, to 1981& logic machines, to 1981"
D'Aristote à Columbia,Logic machines
D'Aristote à Columbia,History
D'Aristote à Columbia,Calculators
D'Aristote à Columbia,Automation
"Gedanken von den Eigenschaften, Wirkungen und Ursachen der Electricität nebst einer Beschreibung zwo neuer electrischen Maschinen",Electrostatics
"Gedanken von den Eigenschaften, Wirkungen und Ursachen der Electricität nebst einer Beschreibung zwo neuer electrischen Maschinen",Electric machines
The computer establishment,Computer industry
The computer establishment,History
Das Leben und Wirken von Gustav Anton Zeuner (1828 bis 1907),"ScienceZeuner, Gustav Anton1828-1907"
Das Leben und Wirken von Gustav Anton Zeuner (1828 bis 1907),Machines
Das Leben und Wirken von Gustav Anton Zeuner (1828 bis 1907),Thermodynamica
International guide to MARC databases and services national magnetic tape services,Machine-readable bibliographic data
International guide to MARC databases and services national magnetic tape services,National libraries
International guide to MARC databases and services national magnetic tape services,MARC formats
World non-electrical machinery an empirical study of the machine-tool industry,Machine-tool industry
Machine learning an artificial intelligence approach,Artificial intelligence
Machine learning an artificial intelligence approach,Machine learning
Private file creation/database construction a proceeding with five case studies,Special libraries
Private file creation/database construction a proceeding with five case studies,Machine-readable bibliographic data
Private file creation/database construction a proceeding with five case studies,Information storage and retrieval systems
Private file creation/database construction a proceeding with five case studies,Online library catalogs
Private file creation/database construction a proceeding with five case studies,Automation
Private file creation/database construction a proceeding with five case studies,Information Systems
"Robotics age, in the beginning selected from Robotics age magazine",Robots
"Robotics age, in the beginning selected from Robotics age magazine",Machine theory
Computer-readable databases a directory and data sourcebook,Machine-readable bibliographic data
Computer-readable databases a directory and data sourcebook,Information storage and retrieval systems
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Recataloging
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Cooperative cataloging
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Machine-readable bibliographic data
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Exchange of bibliographic information
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Retrospective conversion (Cataloging)
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Online library catalogs
Issues in retrospective conversion report of a study conducted for the Council on Library Resources,Data processing
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Indexing
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Subject cataloging
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Machine-readable bibliographic data
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Indexes
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Subject catalogs
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Information storage and retrieval systems
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,"Catalogs, Library"
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Online library catalogs
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Subject Headings
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Online bibliographic searching
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Information Systems
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Information retrieval
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Subject access
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Abstracting and Indexing
Redesign of catalogs and indexes for improved online subject access selected papers of Pauline A. Cochrane,Data processing
The ergonomics of workspaces and machines a design manual,Human-machine systems
The ergonomics of workspaces and machines a design manual,Ergonomics
The ergonomics of workspaces and machines a design manual,Man-Machine Systems
The ergonomics of workspaces and machines a design manual,Human engineering
The ergonomics of workspaces and machines a design manual,Industrial design
The ergonomics of workspaces and machines a design manual,Workplace
The ergonomics of workspaces and machines a design manual,Work environment
The recursive universe cosmic complexity and the limits of scientific knowledge,Self-organizing systems
The recursive universe cosmic complexity and the limits of scientific knowledge,Machine theory
La cultura biblioinformática septentrional,Machine-readable bibliographic data
La cultura biblioinformática septentrional,Information services
La cultura biblioinformática septentrional,Information storage and retrieval systems
La cultura biblioinformática septentrional,Information Services
La cultura biblioinformática septentrional,Library information networks
Computerized literature searching research strategies and databases,Methodology
Computerized literature searching research strategies and databases,Machine-readable bibliographic data
Computerized literature searching research strategies and databases,Information Storage and Retrieval
Computerized literature searching research strategies and databases,Research
Computerized literature searching research strategies and databases,Online bibliographic searching
Computerized literature searching research strategies and databases,Information retrieval
Computerized literature searching research strategies and databases,Data processing
Retrospective conversion from cards to computer,Recataloging
Retrospective conversion from cards to computer,Machine-readable bibliographic data
Retrospective conversion from cards to computer,Retrospective conversion (Cataloging)
Retrospective conversion from cards to computer,Online library catalogs
Retrospective conversion from cards to computer,Data processing
Computerization and work a reader on social aspects of computerization : a collection of articles,Human-machine systems
Computerization and work a reader on social aspects of computerization : a collection of articles,Man-Machine Systems
Computerization and work a reader on social aspects of computerization : a collection of articles,Labor supply
Computerization and work a reader on social aspects of computerization : a collection of articles,Effect of technological innovations on
Computerization and work a reader on social aspects of computerization : a collection of articles,Social aspects
Computerization and work a reader on social aspects of computerization : a collection of articles,Computers
International study of copyright of bibliographic records in machine-readable form a report prepared for the International Federation of Library Associations and Institutions,Copyright
International study of copyright of bibliographic records in machine-readable form a report prepared for the International Federation of Library Associations and Institutions,Machine-readable bibliographic data
"Der Wert, die Zeichen, die Maschine über ökonomisch-philosophische Denkformen, Triebe und Mechanismen",Man-Machine Systems
"Der Wert, die Zeichen, die Maschine über ökonomisch-philosophische Denkformen, Triebe und Mechanismen",Human-machine systems
"Der Wert, die Zeichen, die Maschine über ökonomisch-philosophische Denkformen, Triebe und Mechanismen",Machinery in the workplace
"Der Wert, die Zeichen, die Maschine über ökonomisch-philosophische Denkformen, Triebe und Mechanismen",Technology and civilization
Formale Sprachen mit Anwendungen auf die Beschreibung natürlicher Sprachen,Formal languages
Formale Sprachen mit Anwendungen auf die Beschreibung natürlicher Sprachen,Machine theory
Machine translation,Machine translating
Valenz und Kongruenzbeziehungen ein Modell zur Vereindeutigung von Verben in der maschinellen Analyse und Übersetzung,Translating into French
Valenz und Kongruenzbeziehungen ein Modell zur Vereindeutigung von Verben in der maschinellen Analyse und Übersetzung,Machine translating
Valenz und Kongruenzbeziehungen ein Modell zur Vereindeutigung von Verben in der maschinellen Analyse und Übersetzung,German language
Valenz und Kongruenzbeziehungen ein Modell zur Vereindeutigung von Verben in der maschinellen Analyse und Übersetzung,Verb
Automatische Synthese des Französischen aus einer logischen Basis,French language
Automatische Synthese des Französischen aus einer logischen Basis,Machine translating
Automatische Synthese des Französischen aus einer logischen Basis,"Grammar, Generative"
Automatische Synthese des Französischen aus einer logischen Basis,Data processing
Die Entzeichnung einfacher französischer Texte Beiträge zur algorithmischen Grammatik,French language
Die Entzeichnung einfacher französischer Texte Beiträge zur algorithmischen Grammatik,Machine translating
Die Entzeichnung einfacher französischer Texte Beiträge zur algorithmischen Grammatik,Data processing
"Vom Bohren, Drehen und Fräsen Zur Kulturgeschichte der Werkzeugmaschinen",Machine-tools
"Vom Bohren, Drehen und Fräsen Zur Kulturgeschichte der Werkzeugmaschinen",History
Ergonomi och människa-teknikproblem Något om ett aktuellt forskningsområde inom psykologi,Human engineering
Ergonomi och människa-teknikproblem Något om ett aktuellt forskningsområde inom psykologi,Human-machine systems
Maschinelle Übersetzung komplexer französischer Nominalsyntagmen ins Deutsche,French language
Maschinelle Übersetzung komplexer französischer Nominalsyntagmen ins Deutsche,Translating into German
Maschinelle Übersetzung komplexer französischer Nominalsyntagmen ins Deutsche,Machine translating
Materialien zur Geschichte und Typologie der Getreidewinde (Kornfege),Threshing machines
Materialien zur Geschichte und Typologie der Getreidewinde (Kornfege),History
Materialien zur Geschichte und Typologie der Getreidewinde (Kornfege),Fanning mills
"Text, Textsorten, Semantik linguistische Modelle und maschinelle Verfahren",Semantics
"Text, Textsorten, Semantik linguistische Modelle und maschinelle Verfahren","Criticism, Textual"
"Text, Textsorten, Semantik linguistische Modelle und maschinelle Verfahren",Machine translating
Organization and interaction patterns in Hungarian industry,Industrial concentration
Organization and interaction patterns in Hungarian industry,Joint ventures
Organization and interaction patterns in Hungarian industry,Industrial policy
Organization and interaction patterns in Hungarian industry,Machine-tool industry
Organization and interaction patterns in Hungarian industry,Industrial organization
Semigroup characterizations of dot-depth one languages,Formal languages
Semigroup characterizations of dot-depth one languages,Machine theory
Schleifkotten und Hämmer vor 1750 in den Gebieten der jetzigen Städte Remscheid und Wuppertal,Hammers
Schleifkotten und Hämmer vor 1750 in den Gebieten der jetzigen Städte Remscheid und Wuppertal,History
Schleifkotten und Hämmer vor 1750 in den Gebieten der jetzigen Städte Remscheid und Wuppertal,Grinding machines
Schleifkotten und Hämmer vor 1750 in den Gebieten der jetzigen Städte Remscheid und Wuppertal,Water-wheels
Requiem for the card catalog management issues in automated cataloging,Library administration
Requiem for the card catalog management issues in automated cataloging,Library catalogs
Requiem for the card catalog management issues in automated cataloging,Machine-readable bibliographic data
Requiem for the card catalog management issues in automated cataloging,Automation
Requiem for the card catalog management issues in automated cataloging,Libraries
Muzzle blast a pictorial story of six years of war with the 2/2 Aust. Machine Gun Battalion,Regimental histories
Muzzle blast a pictorial story of six years of war with the 2/2 Aust. Machine Gun Battalion,"World War, 1939-1945"
The future of the catalog the library's choices,Online Systems
The future of the catalog the library's choices,Library catalogs
The future of the catalog the library's choices,Machine-readable bibliographic data
The future of the catalog the library's choices,"Catalogs, Library"
The future of the catalog the library's choices,Online bibliographic searching
The future of the catalog the library's choices,Information Systems
Switching and finite automata theory,Switching theory
Switching and finite automata theory,Sequential machine theory
Computers and translation CaT,Computational linguistics
Computers and translation CaT,Machine translating
Into the heart of the mind an American quest for artificial intelligence,Artificial intelligence
Into the heart of the mind an American quest for artificial intelligence,Machine learning
Into the heart of the mind an American quest for artificial intelligence,Computers
Into the heart of the mind an American quest for artificial intelligence,Artificial Intelligence
UNBIS reference manual for bibliographic description a manual for the preparation of bibliographic data for input into and retrieval from the United Nations Bibliographic Information System,"Handbooks, manuals, etc"
UNBIS reference manual for bibliographic description a manual for the preparation of bibliographic data for input into and retrieval from the United Nations Bibliographic Information System,Machine-readable bibliographic data
UNBIS reference manual for bibliographic description a manual for the preparation of bibliographic data for input into and retrieval from the United Nations Bibliographic Information System,Cataloging
UNBIS reference manual for bibliographic description a manual for the preparation of bibliographic data for input into and retrieval from the United Nations Bibliographic Information System,UNBIS (Information retrieval system)
UNBIS reference manual for bibliographic description a manual for the preparation of bibliographic data for input into and retrieval from the United Nations Bibliographic Information System,Data processing
Ėffektivnostʹ territorialʹnoĭ kont︠s︡entrat︠s︡ii i spet︠s︡ializat︠s︡ii promyshlennogo proizvodstva,Vertical integration
Ėffektivnostʹ territorialʹnoĭ kont︠s︡entrat︠s︡ii i spet︠s︡ializat︠s︡ii promyshlennogo proizvodstva,Industrial concentration
Ėffektivnostʹ territorialʹnoĭ kont︠s︡entrat︠s︡ii i spet︠s︡ializat︠s︡ii promyshlennogo proizvodstva,Machine-tool industry
Ėffektivnostʹ territorialʹnoĭ kont︠s︡entrat︠s︡ii i spet︠s︡ializat︠s︡ii promyshlennogo proizvodstva,Industrial efficiency
The Capital goods sector in developing countries technology issues and policy options : study,Machine-tool industry
The Capital goods sector in developing countries technology issues and policy options : study,Machinery industry
The Capital goods sector in developing countries technology issues and policy options : study,Industrial equipment industry
"International production cost comparison, spinning/weaving",Textile industry
"International production cost comparison, spinning/weaving",Yarn
"International production cost comparison, spinning/weaving",Weaving
"International production cost comparison, spinning/weaving",Machine knitting
"International production cost comparison, spinning/weaving",Costs
Československé strojírenství v mezinárodní dělbě práce,Machine-tool industry
Československé strojírenství v mezinárodní dělbě práce,Industrial management
Československé strojírenství v mezinárodní dělbě práce,Economic integration
The flying machine and modern literature,Flying-machines in literature
The flying machine and modern literature,Airplanes in literature
The flying machine and modern literature,History and criticism
The flying machine and modern literature,Aeronautics in literature
The flying machine and modern literature,Flight in literature
The flying machine and modern literature,English literature
The flying machine and modern literature,American literature
Computation and automata,Computational complexity
Computation and automata,Computable functions
Computation and automata,Sequential machine theory
Proceedings of the ... Conference on Training Personnel for the Computing Machine Field,Electronic office machines
Proceedings of the ... Conference on Training Personnel for the Computing Machine Field,Computers
From tape to product some practical considerations on the use of OCLC-MARC tapes,MARC formats
From tape to product some practical considerations on the use of OCLC-MARC tapes,Machine-readable bibliographic data
From tape to product some practical considerations on the use of OCLC-MARC tapes,Library science
From tape to product some practical considerations on the use of OCLC-MARC tapes,Data tapes
From tape to product some practical considerations on the use of OCLC-MARC tapes,Automation
From tape to product some practical considerations on the use of OCLC-MARC tapes,Library information networks
From tape to product some practical considerations on the use of OCLC-MARC tapes,Libraries
From tape to product some practical considerations on the use of OCLC-MARC tapes,Data processing
Zemli︠a︡ masterov ocherki,Machine-tool industry
Zemli︠a︡ masterov ocherki,History
Beyond mechanization work and technology in a postindustrial age,Cybernetics
Beyond mechanization work and technology in a postindustrial age,Division of labor
Beyond mechanization work and technology in a postindustrial age,Human-machine systems
Beyond mechanization work and technology in a postindustrial age,Work design
Beyond mechanization work and technology in a postindustrial age,Man-Machine Systems
Beyond mechanization work and technology in a postindustrial age,Machinery in the workplace
Computer algebra symbolic and algebraic computation,Machine theory
Computer algebra symbolic and algebraic computation,Algebra
Computer algebra symbolic and algebraic computation,Data processing
"Folded, spindled, and mutilated economic analysis and U.S. v. IBM",Law and legislation
"Folded, spindled, and mutilated economic analysis and U.S. v. IBM","Trials, litigation, etc"
"Folded, spindled, and mutilated economic analysis and U.S. v. IBM",Computer industry
"Folded, spindled, and mutilated economic analysis and U.S. v. IBM",Economic aspects
"Folded, spindled, and mutilated economic analysis and U.S. v. IBM",Antitrust Laws
"Folded, spindled, and mutilated economic analysis and U.S. v. IBM",Antitrust law
Adriano Olivetti,Electronic office machine industry
Adriano Olivetti,History
Adriano Olivetti,Businessmen
Adriano Olivetti,Businesspeople
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Discourse analysis
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Uzbek language
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Machine translating
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Linguistic models
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Statistical methods
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Mathematical linguistics
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Turkish language
Inzhenernai︠a︡ lingvistika i opyt sistemno-statisticheskogo issledovanii︠a︡ uzbekskikh tekstov,Semiotics
Sintassi semantica e tecniche di compilazione,Formal languages
Sintassi semantica e tecniche di compilazione,Machine theory
Sintassi semantica e tecniche di compilazione,Compiling (Electronic computers)
Computer und Übersetzen eine Einführung,Machine translating
Computer und Übersetzen eine Einführung,German language
"Das Schiffchen fliegt, die Maschine rauscht Weber, Sticker und Unternehmer in der Ostschweiz",Textile industry
"Das Schiffchen fliegt, die Maschine rauscht Weber, Sticker und Unternehmer in der Ostschweiz",Knit goods industry
"Das Schiffchen fliegt, die Maschine rauscht Weber, Sticker und Unternehmer in der Ostschweiz",History
"Das Schiffchen fliegt, die Maschine rauscht Weber, Sticker und Unternehmer in der Ostschweiz",Textile workers
"Das Schiffchen fliegt, die Maschine rauscht Weber, Sticker und Unternehmer in der Ostschweiz",Machine knitting
Psikhologicheskie problemy dei︠a︡telʹnosti v osobykh uslovii︠a︡kh,Personality and situation
Psikhologicheskie problemy dei︠a︡telʹnosti v osobykh uslovii︠a︡kh,Human-machine systems
Psikhologicheskie problemy dei︠a︡telʹnosti v osobykh uslovii︠a︡kh,Adaptability (Psychology)
Psikhologicheskie problemy dei︠a︡telʹnosti v osobykh uslovii︠a︡kh,"Adaptation, Psychological"
Psikhologicheskie problemy dei︠a︡telʹnosti v osobykh uslovii︠a︡kh,Stress (Psychology)
Machine learning,Machine learning
Mathematical foundations of programming,Formal languages
Mathematical foundations of programming,"Logic, Symbolic and mathematical"
Mathematical foundations of programming,Machine theory
Fundamentals of human-computer interaction,Human engineering
Fundamentals of human-computer interaction,Human-machine systems
Fundamentals of human-computer interaction,Interactive computer systems
Engineering psychology and human performance,"Psychology, Industrial"
Engineering psychology and human performance,Human engineering
Engineering psychology and human performance,Human-machine systems
Informat︠s︡ionnye prot︠s︡essy i mashinnyĭ perevod lingvisticheskiĭ aspekt,Communication
Informat︠s︡ionnye prot︠s︡essy i mashinnyĭ perevod lingvisticheskiĭ aspekt,Machine translating
"Computability, complexity, and languages fundamentals of theoretical computer science",Computational complexity
"Computability, complexity, and languages fundamentals of theoretical computer science",Formal languages
"Computability, complexity, and languages fundamentals of theoretical computer science",Machine theory
"Machine translation today the state of the art : proceedings of the Third Lugano Tutorial, Lugano, Switzerland, 2-7 April 1984",Machine translating
Lectures on probabilistic logics and the synthesis of reliable organisms from unreliable components,"Logic, Symbolic and mathematical"
Lectures on probabilistic logics and the synthesis of reliable organisms from unreliable components,Machine theory
Normativnoe planirovanie zarabotnoĭ platy,Labor productivity
Normativnoe planirovanie zarabotnoĭ platy,Machine-tool industry
Normativnoe planirovanie zarabotnoĭ platy,Machinery industry
Normativnoe planirovanie zarabotnoĭ platy,Wages
Cibernetica e noetica dal controllo delle macchine al governo dei sistemi umani,Machine learning
Cibernetica e noetica dal controllo delle macchine al governo dei sistemi umani,Cybernetics
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Human-machine systems
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Ergonomics
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Man-Machine Systems
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Human engineering
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Work environment
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Office practice
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Automation
Ergonomic principles in office automation state of the art reports and guidelines on human factors in the office environment,Office Automation
Human-computer interaction,System design
Human-computer interaction,Computers
Human-computer interaction,Psychological aspects
Human-computer interaction,Human-machine systems
L' ergonomie,Man-Machine Systems
L' ergonomie,Human engineering
L' ergonomie,Human-machine systems
L' ergonomie,Ergonomics
Man-computer interaction research MACINTER-I,ManInteractions with computer systems
Man-computer interaction research MACINTER-I,Computers
Man-computer interaction research MACINTER-I,Human-machine systems
Man-computer interaction research MACINTER-I,Interactive computer systems
An introduction to online searching,Machine-readable bibliographic data
An introduction to online searching,Online bibliographic searching
